searge,name,side,desc
m_100016_,loadPackIcon,0,
m_100035_,lambda$init$1,0,
m_100039_,closeWatcher,0,
m_100040_,populateLists,0,
m_100041_,reload,0,
m_100046_,pollForChanges,0,
m_100049_,watchDir,0,
m_10004_,build,2,
m_10005_,experience,2,
m_10007_,addExperience,2,
m_100088_,showHoverOverlay,0,
m_10009_,recipe,2,
m_10011_,addRecipe,2,
m_100184_,getRecipeCollection,0,
m_100194_,init,0,
m_100204_,setVisible,0,
m_100206_,getLastRecipeClicked,0,
m_100212_,isVisible,0,
m_100266_,calculateIngredientsPositions,0,
m_100297_,hasClickedOutside,0,
m_100309_,init,0,
m_100330_,lambda$updateCollections$7,0,
m_100335_,pirateSpeechForThePeople,0,
m_100351_,updateTabs,0,
m_100369_,setVisible,0,
m_100382_,updateCollections,0,
m_100384_,toggleVisibility,0,
m_100385_,isVisible,0,
m_100386_,tick,0,
m_100387_,recipesUpdated,0,
m_100388_,sendUpdateSettings,0,
m_100389_,updateStackedContents,0,
m_100391_,toggleFiltering,0,
m_100392_,checkSearchStringUpdate,0,
m_100393_,isOffsetNextToMainGUI,0,
m_100408_,getLastClickedRecipe,0,
m_100409_,mouseClicked,0,
m_10040_,lambda$verifyLoginAndFinishConnectionSetup$0,2,
m_100428_,init,0,
m_100436_,updateCollections,0,
m_100439_,getLastClickedRecipeCollection,0,
m_100440_,setInvisible,0,
m_100442_,getRecipeBook,0,
m_100443_,updateButtonsForPage,0,
m_100444_,updateArrowButtons,0,
m_100449_,updateVisibility,0,
m_10044_,handleCustomQueryPacket,2,
m_100451_,startAnimation,0,
m_100455_,getCategory,0,
m_100471_,getCollection,0,
m_100479_,init,0,
m_100482_,isOnlyOption,0,
m_100506_,isCraftable,0,
m_100512_,hasCraftable,0,
m_100516_,getRecipes,0,
m_10053_,disconnect,2,
m_10056_,getUserName,2,
m_100594_,getEntryNarationMessage,0,
m_100596_,onHiddenOrShown,0,
m_100600_,getPlayerName,0,
m_100608_,lambda$new$2,0,
m_100618_,getPlayerId,0,
m_100619_,setRemoved,0,
m_100621_,getStatusComponent,0,
m_10064_,getAddress,2,
m_100659_,nbtTag,2,
m_100662_,getNbtTag,2,
m_100675_,getHiddenPlayers,0,
m_100676_,addPlayer,0,
m_100678_,getDiscoveredUUID,0,
m_100680_,hidePlayer,0,
m_100682_,showPlayer,0,
m_100684_,shouldHideMessageFrom,0,
m_100686_,isHidden,0,
m_100688_,isBlocked,0,
m_100690_,removePlayer,0,
m_100714_,addPlayer,0,
m_100717_,setFilter,0,
m_100722_,removePlayer,0,
m_100724_,isEmpty,0,
m_100725_,updateFilteredPlayers,0,
m_100767_,updateServerLabel,0,
m_100771_,showPage,0,
m_100775_,onAddPlayer,0,
m_100779_,onRemovePlayer,0,
m_100784_,lambda$init$2,0,
m_100788_,checkSearchStringUpdate,0,
m_100790_,lambda$init$1,0,
m_100795_,lambda$init$0,0,
m_100799_,windowHeight,0,
m_100801_,listEnd,0,
m_100802_,marginX,0,
m_100906_,createTempDataPackDirFromExistingWorld,0,
m_100912_,copyBetweenDirs,0,
m_10092_,handlePingRequest,2,
m_100967_,popScreen,0,
m_100968_,getOrCreateTempDataPackDir,0,
m_100972_,onCreate,0,
m_100976_,removeTempDataPackDir,0,
m_101060_,markInvalid,0,
m_101062_,access$000,0,
m_101074_,clearInvalid,0,
m_101076_,access$100,0,
m_101083_,access$200,0,
m_101085_,access$300,0,
m_101088_,access$400,0,
m_101090_,access$500,0,
m_101094_,updateDoneButton,0,
m_101154_,create,0,
m_101222_,lambda$addEntry$2,0,
m_101224_,addEntry,0,
m_101237_,visitBoolean,2,
m_101240_,visitInteger,2,
m_101258_,makeBackupAndShowToast,0,
m_101295_,onRename,0,
m_101315_,create,0,
m_101321_,lambda$init$1,0,
m_101684_,getSelectedOpt,0,
m_101685_,getScreen,0,
m_101704_,joinWorld,0,
m_101738_,deleteWorld,0,
m_101739_,editWorld,0,
m_101743_,recreateWorld,0,
m_101745_,queueLoadScreen,0,
m_101746_,loadIcon,0,
m_101786_,getItems,0,
m_101787_,getItem,0,
m_101794_,selectCategory,0,
m_101796_,getSelectedItem,0,
m_101797_,selectSlot,0,
m_101799_,getSelectedCategory,0,
m_101800_,exit,0,
m_101801_,getSelectedSlot,0,
m_101802_,getCurrentPage,0,
m_101851_,getItem,0,
m_101853_,getSelectedSlot,0,
m_101957_,objective,2,
m_101960_,getObjective,2,
m_101965_,getWritableObjective,2,
m_102082_,bobArms,0,
m_102086_,animateCrossbowCharge,0,
m_102091_,swingWeaponDown,0,
m_102097_,animateCrossbowHold,0,
m_102102_,animateZombieArms,0,
m_10214_,getMetadataFromStream,2,
m_102555_,criteria,2,
m_102556_,getName,2,
m_102565_,getCriteria,2,
m_102833_,quadraticArmUpdate,0,
m_102844_,setupAnim,0,
m_102851_,getArm,0,
m_102875_,poseRightArm,0,
m_102878_,poseLeftArm,0,
m_102897_,isTwoHanded,0,
m_10305_,getDirectory,2,
m_103119_,renderType,0,
m_103269_,operation,2,
m_103270_,lambda$getSimpleOperation$5,2,
m_103275_,getOperation,2,
m_103281_,getOperation,2,
m_103286_,getSimpleOperation,2,
m_103288_,lambda$getSimpleOperation$3,2,
m_103291_,lambda$getSimpleOperation$2,2,
m_103297_,lambda$getSimpleOperation$1,2,
m_103308_,apply,2,
m_103934_,readParticle,2,
m_103937_,getParticle,2,
m_104227_,setPos,0,
m_104290_,compile,0,
m_104299_,translateAndRotate,0,
m_10429_,getTitle,2,
m_104301_,render,0,
m_104306_,render,0,
m_10437_,getChatLink,2,
m_104384_,remap,0,
m_104397_,setListener,0,
m_104399_,update,0,
m_104401_,setSelectedTab,0,
m_104416_,updateViewRadius,0,
m_10442_,getDescription,2,
m_104438_,isValidChunk,0,
m_10443_,getCompatibility,2,
m_104448_,calculateStorageRange,0,
m_104455_,drop,0,
m_104459_,updateViewCenter,0,
m_10445_,open,2,
m_10446_,getId,2,
m_104479_,getChunk,0,
m_104481_,getIndex,0,
m_104484_,replace,0,
m_10449_,isRequired,2,
m_104500_,inRange,0,
m_10450_,isFixedPosition,2,
m_10451_,getDefaultPosition,2,
m_104531_,authenticateServer,0,
m_10453_,getPackSource,2,
m_104582_,disconnect,0,
m_104592_,spawnFluidParticle,0,
m_104639_,tickNonPassenger,0,
m_104641_,tickPassenger,0,
m_104665_,unload,0,
m_104689_,trySpawnDripParticles,0,
m_104694_,spawnParticle,0,
m_10469_,opposite,2,
m_10470_,insert,2,
m_104726_,tick,0,
m_104735_,entitiesForRendering,0,
m_104739_,addEntity,0,
m_104762_,calculateBlockTint,0,
m_104784_,animateTick,0,
m_104793_,setSectionDirtyWithNeighbors,0,
m_104804_,tickEntities,0,
m_104810_,clearTintCaches,0,
m_104813_,getEntityCount,0,
m_104819_,getSkyFlashTime,0,
m_104826_,tickTime,0,
m_104849_,setGameTime,0,
m_104851_,setDifficulty,0,
m_104858_,setDifficultyLocked,0,
m_104863_,setDayTime,0,
m_10489_,isCompatible,2,
m_104910_,getConnection,0,
m_104927_,findTotem,0,
m_10492_,getDescription,2,
m_104938_,getPlayerInfo,0,
m_10493_,getConfirmation,2,
m_104949_,getPlayerInfo,0,
m_105003_,handleCustomPayload,0,
m_10506_,reload,2,
m_10507_,getPack,2,
m_10509_,setSelected,2,
m_105133_,handleUpdateTags,2,
m_105137_,getSuggestionsProvider,0,
m_105142_,getOnlinePlayers,0,
m_105143_,getOnlinePlayerIds,0,
m_105144_,getLocalGameProfile,0,
m_105145_,getAdvancements,0,
m_105146_,getCommands,0,
m_105147_,getLevel,0,
m_105149_,getDebugQueryHandler,0,
m_10514_,getAvailableIds,2,
m_105150_,getId,0,
m_105151_,levels,0,
m_105152_,registryAccess,0,
m_10515_,isAvailable,2,
m_105167_,prettyPrint,0,
m_105169_,prettyPrint,0,
m_105171_,completeCustomSuggestions,0,
m_10517_,rebuildSelected,2,
m_10519_,getAvailablePacks,2,
m_105205_,canHurtPlayer,0,
m_105208_,handleInventoryButtonClick,0,
m_10520_,getAvailablePacks,2,
m_105217_,handlePlaceRecipe,0,
m_105221_,adjustPlayer,0,
m_105223_,attack,0,
m_105226_,interact,0,
m_105230_,interactAt,0,
m_105239_,handleCreativeModeItemDrop,0,
m_10523_,getSelectedIds,2,
m_105241_,handleCreativeModeItemAdd,0,
m_105246_,createPlayer,0,
m_10524_,getSelectedPacks,2,
m_105250_,createPlayer,0,
m_10525_,openAllSelected,2,
m_105267_,destroyBlock,0,
m_105269_,startDestroyBlock,0,
m_10526_,discoverAvailable,2,
m_105276_,stopDestroyBlock,0,
m_105277_,releaseUsingItem,0,
m_105279_,setLocalMode,0,
m_105281_,sameDestroyTarget,0,
m_105283_,continueDestroyBlock,0,
m_105287_,tick,0,
m_105288_,hasExperience,0,
m_105289_,hasMissTime,0,
m_105292_,isServerControlledInventory,0,
m_105293_,isSpectator,0,
m_105294_,getPreviousPlayerMode,0,
m_105295_,getPlayerMode,0,
m_105296_,isDestroying,0,
m_105297_,ensureHasSentCarriedItem,0,
m_105312_,getProfile,0,
m_105313_,setLatency,0,
m_105317_,setGameMode,0,
m_105323_,setTabListDisplayName,0,
m_105325_,getGameMode,0,
m_105330_,getLatency,0,
m_10533_,decorateWithSource,2,
m_105340_,getTeam,0,
m_105342_,getTabListDisplayName,0,
m_105378_,write,0,
m_105379_,setResourcePackStatus,0,
m_10537_,lambda$decorateWithSource$0,2,
m_105381_,copyFrom,0,
m_105385_,read,0,
m_105387_,getResourcePackStatus,0,
m_105389_,isLan,0,
m_105400_,getName,0,
m_105404_,intRange,2,
m_105405_,floatRange,2,
m_10540_,decorate,2,
m_105419_,getRange,2,
m_105431_,load,0,
m_105432_,get,0,
m_105434_,swap,0,
m_105437_,replace,0,
m_105440_,remove,0,
m_105442_,save,0,
m_105445_,size,0,
m_105446_,saveSingleServer,0,
m_105453_,tick,0,
m_105459_,pingServer,0,
m_105465_,removeAll,0,
m_105466_,formatPlayerCount,0,
m_105486_,handlePongResponse,2,
m_10595_,register,2,
m_10624_,getMetadataLocation,2,
m_106727_,setTrail,0,
m_106767_,createParticle,0,
m_106778_,createParticleBall,0,
m_106785_,createParticleShape,0,
m_106793_,createParticleBurst,0,
m_106798_,isFarAwayFromCamera,0,
m_107165_,getGroup,0,
m_107250_,setSize,0,
m_107257_,setLifetime,0,
m_107259_,setBoundingBox,0,
m_107264_,setPos,0,
m_107268_,setPower,0,
m_107273_,getLifetime,0,
m_107274_,remove,0,
m_107275_,setLocationFromBoundingbox,0,
m_107276_,isAlive,0,
m_107277_,getBoundingBox,0,
m_107282_,getTextures,0,
m_107283_,lambda$fromJson$0,0,
m_107285_,fromJson,0,
m_107329_,createTrackingEmitter,0,
m_107332_,createTrackingEmitter,0,
m_107342_,setLevel,0,
m_107344_,add,0,
m_107370_,createParticle,0,
m_107388_,tick,0,
m_107395_,makeParticle,0,
m_107403_,countParticles,0,
m_107657_,setColor,0,
m_107659_,setFadeColor,0,
m_10815_,of,2,
m_108217_,scoreHolder,2,
m_108223_,getName,2,
m_108226_,getNames,2,
m_108230_,lambda$parse$2,2,
m_108235_,lambda$parse$3,2,
m_108239_,scoreHolders,2,
m_108243_,getNames,2,
m_108246_,getNamesWithDefaultWildcard,2,
m_108558_,getPlayerInfo,0,
m_10855_,lambda$wait$0,2,
m_108565_,getFieldOfViewModifier,0,
m_10859_,lambda$wait$1,2,
m_108628_,sendOpenInventory,0,
m_108630_,getStats,0,
m_108631_,getRecipeBook,0,
m_108632_,shouldShowDeathScreen,0,
m_108634_,getJumpRidingScale,0,
m_108635_,isMovingSlowly,0,
m_108636_,isControlledCamera,0,
m_108637_,isHandsBusy,0,
m_108638_,isAutoJumpEnabled,0,
m_108639_,getWaterVision,0,
m_10863_,create,2,
m_108640_,sendPosition,0,
m_108644_,setExperienceValues,0,
m_108675_,removeRecipeHighlight,0,
m_108700_,drop,0,
m_108704_,moveTowardsClosestSpace,0,
m_108711_,setShowDeathScreen,0,
m_108731_,canAutoJump,0,
m_108732_,isMoving,0,
m_108737_,respawn,0,
m_108743_,updateAutoJump,0,
m_108746_,suffocatesAt,0,
m_108760_,hurtTo,0,
m_108762_,getCurrentMood,0,
m_108763_,clientSideCloseContainer,0,
m_108765_,sendRidingJump,0,
m_108788_,isEmpty,0,
m_108793_,getAverageGrassColor,0,
m_108796_,getAverageColor,0,
m_108800_,lambda$static$2,0,
m_108804_,getAverageFoliageColor,0,
m_108807_,lambda$static$0,0,
m_108811_,getAverageWaterColor,0,
m_108849_,render,0,
m_108982_,getVertexInfo,0,
m_108984_,fromFacing,0,
m_109087_,pick,0,
m_109089_,renderLevel,0,
m_109093_,render,0,
m_109097_,resize,0,
m_109106_,checkEntityPostEffect,0,
m_109108_,getNightVisionScale,0,
m_109113_,displayItemActivation,0,
m_109117_,bobHurt,0,
m_109120_,renderItemInHand,0,
m_109130_,togglePostEffect,0,
m_109131_,getDarkenWorldAmount,0,
m_109138_,bobView,0,
m_109141_,getFov,0,
m_109148_,tick,0,
m_109150_,resetData,0,
m_109152_,getRenderDistance,0,
m_109153_,getMainCamera,0,
m_109154_,lightTexture,0,
m_109155_,overlayTexture,0,
m_109156_,tickFov,0,
m_109158_,shouldRenderBlockOutline,0,
m_109182_,compose,2,
